Frame, Time (ms), Delta (ms) , Memory (mb)
  408,1922.064, 4.530,5765
  409,1926.825, 4.761,5765
  410,1931.347, 4.522,5765
  411,1935.955, 4.608,5765
  412,1940.580, 4.625,5765
  413,1945.128, 4.548,5765
  414,1949.691, 4.563,5765
  415,1954.321, 4.630,5765
  416,1958.813, 4.492,5765
  417,1963.436, 4.623,5765
  418,1967.989, 4.553,5765
  419,1972.631, 4.642,5765
  420,1977.143, 4.512,5765
  421,1981.707, 4.564,5765
  422,1986.262, 4.555,5765
  423,1990.895, 4.633,5765
  424,1995.351, 4.456,5765
  425,1999.939, 4.588,5765
  426,2004.471, 4.532,5765
  427,2009.086, 4.615,5765
  428,2013.666, 4.580,5765
  429,2018.176, 4.510,5765
  430,2022.740, 4.564,5765
  431,2027.267, 4.527,5765
  432,2031.832, 4.565,5765
  433,2036.339, 4.507,5765
  434,2040.781, 4.442,5765
  435,2045.362, 4.581,5765
  436,2049.882, 4.520,5765
  437,2054.455, 4.573,5765
  438,2058.846, 4.391,5765
  439,2063.523, 4.677,5765
  440,2068.026, 4.503,5765
  441,2072.586, 4.560,5765
  442,2077.234, 4.648,5765
  443,2081.678, 4.444,5765
  444,2086.215, 4.537,5765
  445,2090.822, 4.607,5765
  446,2095.317, 4.495,5765
  447,2100.031, 4.714,5765
  448,2104.426, 4.395,5765
  449,2108.986, 4.560,5765
  450,2113.593, 4.607,5765
  451,2118.248, 4.655,5765
  452,2122.728, 4.480,5765
  453,2127.229, 4.501,5765
  454,2131.692, 4.463,5765
  455,2136.333, 4.641,5765
  456,2140.795, 4.462,5765
  457,2145.521, 4.726,5764
  458,2149.948, 4.427,5764
  459,2154.511, 4.563,5764
  460,2159.017, 4.506,5764
  461,2163.613, 4.596,5765
  462,2168.259, 4.646,5765
  463,2172.771, 4.512,5765
  464,2177.218, 4.447,5765
  465,2181.836, 4.618,5765
  466,2186.268, 4.432,5765
  467,2190.893, 4.625,5765
  468,2195.426, 4.533,5765
  469,2200.009, 4.583,5765
  470,2204.549, 4.540,5765
  471,2209.172, 4.623,5765
  472,2213.552, 4.380,5765
  473,2218.201, 4.649,5765
  474,2222.902, 4.701,5765
  475,2227.632, 4.730,5765
  476,2232.047, 4.415,5765
  477,2236.607, 4.560,5765
  478,2241.161, 4.554,5765
  479,2245.651, 4.490,5765
  480,2250.261, 4.610,5765
  481,2254.780, 4.519,5765
  482,2259.251, 4.471,5765
  483,2263.795, 4.544,5765
  484,2268.381, 4.586,5765
  485,2272.991, 4.610,5765
  486,2277.451, 4.460,5765
  487,2282.050, 4.599,5765
  488,2286.843, 4.793,5765
  489,2291.165, 4.322,5765
  490,2295.644, 4.479,5765
  491,2300.174, 4.530,5765
  492,2304.718, 4.544,5765
  493,2309.180, 4.462,5765
  494,2313.758, 4.578,5765
  495,2318.237, 4.479,5765
  496,2322.847, 4.610,5765
  497,2327.480, 4.633,5765
  498,2331.871, 4.391,5765
  499,2336.430, 4.559,5765
  500,2341.132, 4.702,5765
  501,2345.441, 4.309,5765
  502,2350.014, 4.573,5765
  503,2354.574, 4.560,5765
  504,2359.066, 4.492,5765
  505,2363.751, 4.685,5765
  506,2368.207, 4.456,5765
  507,2372.554, 4.347,5765
  508,2377.122, 4.568,5765
  509,2381.667, 4.545,5765
  510,2386.250, 4.583,5765
  511,2390.616, 4.366,5765
  512,2395.154, 4.538,5765
  513,2400.036, 4.882,5765
  514,2404.502, 4.466,5765
  515,2409.279, 4.777,5765
  516,2413.714, 4.435,5765
  517,2418.272, 4.558,5765
  518,2422.739, 4.467,5765
  519,2427.298, 4.559,5765
