TimeInSeconds,FrameTimeMs,FPS
6.32462,10.86,92.09
6.33548,10.21,97.97
6.34569,10.04,99.61
6.35573,10.36,96.52
6.36609,9.78,102.29
6.37587,10.82,92.42
6.38669,9.82,101.84
6.39650,9.26,107.94
6.40577,10.06,99.36
6.41583,10.92,91.56
6.42676,11.00,90.88
6.43776,9.91,100.89
6.44767,10.24,97.65
6.45791,10.06,99.43
6.46797,11.13,89.83
6.47910,9.74,102.69
6.48884,9.92,100.84
6.49876,10.02,99.77
6.50878,9.97,100.33
6.51875,10.90,91.73
6.52965,10.09,99.13
6.53974,10.19,98.15
6.54992,10.11,98.94
6.56003,11.03,90.65
6.57106,10.25,97.60
6.58131,9.53,104.90
6.59084,10.23,97.79
6.60107,10.74,93.11
6.61181,11.08,90.27
6.62289,10.04,99.57
6.63293,9.85,101.49
6.64278,10.19,98.14
6.65297,10.00,99.98
6.66298,10.98,91.07
6.67396,10.16,98.45
6.68411,9.63,103.85
6.69374,10.05,99.48
6.70379,10.95,91.30
6.71475,11.17,89.51
6.72592,9.94,100.55
6.73586,9.85,101.50
6.74572,11.26,88.82
6.75697,10.97,91.13
6.76795,10.25,97.60
6.77819,10.09,99.12
6.78828,10.69,93.56
6.79897,10.07,99.31
6.80904,11.01,90.83
6.82005,10.06,99.42
6.83011,9.94,100.56
6.84005,11.20,89.30
6.85125,10.97,91.15
6.86222,10.94,91.44
6.87316,10.21,97.96
6.88336,10.23,97.73
6.89360,10.47,95.48
6.90407,10.08,99.25
6.91415,11.15,89.69
6.92529,9.90,100.98
6.93520,9.90,101.04
6.94509,10.80,92.57
6.95590,11.60,86.23
6.96749,9.78,102.25
6.97727,11.41,87.65
6.98868,10.91,91.68
6.99959,11.62,86.03
7.01122,9.52,105.00
7.02074,9.59,104.27
7.03033,10.94,91.37
7.04127,10.22,97.86
7.05149,11.67,85.68
7.06316,10.32,96.88
7.07349,10.78,92.78
7.08426,11.27,88.76
7.09553,10.13,98.76
7.10566,10.77,92.89
7.11642,10.76,92.97
7.12718,10.22,97.86
7.13740,11.22,89.15
7.14861,10.88,91.88
7.15950,9.79,102.15
7.16929,11.24,88.97
7.18053,12.92,77.39
7.19345,9.29,107.69
7.20273,10.97,91.18
7.21370,10.88,91.88
7.22458,9.91,100.87
7.23450,12.18,82.08
7.24668,10.85,92.20
7.25753,10.99,91.02
7.26851,10.06,99.37
7.27858,11.98,83.45
7.29056,10.98,91.07
7.30154,11.18,89.44
7.31272,10.92,91.58
7.32364,10.74,93.15
7.33438,11.12,89.94
7.34550,11.03,90.70
7.35652,11.01,90.82
7.36753,11.12,89.92
7.37865,12.04,83.04
7.39070,11.07,90.35
7.40177,11.85,84.35
7.41362,10.39,96.27
7.42401,11.84,84.45
7.43585,10.79,92.65
7.44664,10.95,91.33
7.45759,11.08,90.22
7.46868,11.03,90.69
7.47970,11.43,87.45
7.49114,10.51,95.11
7.50165,12.09,82.72
7.51374,11.00,90.91
7.52474,11.61,86.12
7.53635,11.59,86.29
7.54794,10.95,91.33
7.55889,11.65,85.85
7.57054,13.13,76.18
7.58367,11.05,90.50
7.59472,10.80,92.57
7.60552,11.06,90.43
7.61658,12.84,77.87
7.62942,10.70,93.47
7.64012,11.28,88.67
7.65139,11.75,85.09
7.66315,11.66,85.77
7.67481,12.92,77.38
7.68773,18.25,54.79
7.70598,5.07,197.34
7.71105,14.38,69.52
7.72543,9.39,106.45
7.73483,12.23,81.77
7.74705,10.23,97.80
7.75728,12.11,82.58
7.76939,11.97,83.58
7.78135,10.62,94.20
7.79197,10.87,91.96
7.80284,12.12,82.51
7.81497,11.11,90.05
7.82607,10.84,92.25
7.83691,12.06,82.93
7.84897,12.31,81.26
7.86128,10.77,92.83
7.87205,12.30,81.32
7.88435,10.14,98.66
7.89448,11.53,86.71
7.90601,11.98,83.48
7.91799,11.28,88.62
7.92928,11.13,89.86
7.94040,11.69,85.52
7.95210,11.97,83.52
7.96407,11.21,89.21
7.97528,10.93,91.52
7.98621,12.44,80.41
7.99864,11.65,85.80
8.01030,12.83,77.92
8.02313,9.03,110.77
8.03216,11.06,90.42
8.04322,12.21,81.88
8.05543,11.84,84.49
8.06727,11.86,84.31
8.07913,13.18,75.84
8.09232,10.13,98.74
8.10244,11.26,88.85
8.11370,11.97,83.55
8.12567,12.67,78.96
8.13833,11.80,84.76
8.15013,11.04,90.58
8.16117,12.00,83.33
8.17317,10.13,98.68
8.18330,11.76,85.01
8.19507,11.08,90.26
8.20614,11.20,89.31
8.21734,11.35,88.08
8.22870,11.95,83.67
8.24065,12.84,77.87
8.25349,11.72,85.31
8.26521,11.45,87.31
8.27667,12.74,78.50
8.28940,9.75,102.52
8.29916,11.35,88.13
8.31051,11.95,83.71
8.32245,11.08,90.27
8.33353,12.10,82.65
8.34563,11.12,89.89
8.35675,10.66,93.81
8.36741,10.94,91.37
8.37836,12.28,81.43
8.39064,11.18,89.44
8.40182,10.90,91.72
8.41272,10.76,92.91
8.42348,12.26,81.56
8.43574,10.91,91.64
8.44666,11.29,88.56
8.45795,11.25,88.93
8.46919,11.63,86.01
8.48082,10.85,92.14
8.49167,11.05,90.46
8.50273,51.35,19.47
8.55408,3.47,288.35
8.55755,11.13,89.85
8.56868,10.01,99.87
8.57869,11.18,89.41
8.58988,11.57,86.46
